full_text,cleaned_text,translated_text,stopwords,tweet_tokenize,tokens_lemmatized,text_lemmatized,pos,neg,neu,label
Hari ke Paket kami di MLNG oknum Hindari Pakai Banyak yang lebih baik dll Gak bertanggungJawab,Hari ke Paket kami di MLNG oknum Hindari Pakai Banyak yang lebih baik dll Gak bertanggungJawab,day to our package in mlng individuals avoid using many better ones etc. are not responsible,day package mlng individuals avoid using many better ones etc responsible,"['day', 'package', 'mlng', 'individuals', 'avoid', 'using', 'many', 'better', 'ones', 'etc', 'responsible']","['day', 'package', 'mlng', 'individual', 'avoid', 'use', 'many', 'well', 'one', 'etc', 'responsible']",day package mlng individual avoid use many well one etc responsible,0.301,0.151,0.548,positive
sampe sekarang tidak ada kejelasan dari babi emang,sampe sekarang tidak ada kejelasan dari babi emang,until now there is no clarity from pigs,clarity pigs,"['clarity', 'pigs']","['clarity', 'pig']",clarity pig,0.73,0.0,0.27,positive
Kok jadi hunian Hrsnya PT Pos bisa jadi spt sicepat halu JNE sangat Jaringan dmana,Kok jadi hunian Hrsnya PT bisa jadi spt halu sangat Jaringan dmana,how come the hrs dwelling pt can be like a network,come hrs dwelling pt like network,"['come', 'hrs', 'dwelling', 'pt', 'like', 'network']","['come', 'hr', 'dwell', 'pt', 'like', 'network']",come hr dwell pt like network,0.5,0.0,0.5,positive
JNT gila ya masa iya Blitar Medan sama dengan Blitar Sby nya sicepatspx,gila ya masa iya Blitar Medan sama dengan Blitar Sby nya sicepatspx,"crazy yes, yes, blitar medan is the same as sby's blitar sicepatspx",crazy yes yes blitar medan sbys blitar sicepatspx,"['crazy', 'yes', 'yes', 'blitar', 'medan', 'sbys', 'blitar', 'sicepatspx']","['crazy', 'yes', 'yes', 'blitar', 'medan', 'sbys', 'blitar', 'sicepatspx']",crazy yes yes blitar medan sbys blitar sicepatspx,0.422,0.187,0.391,positive
tolong ini sudah dari hari senin nggak bergerak loh dulu juga pakai Halu nggak kaya gini,tolong ini sudah dari hari senin nggak bergerak loh dulu juga pakai Halu nggak kaya gini,"please already from monday, don't move first, we also use it, it's not like this",please already monday move first also use it like,"['please', 'already', 'monday', 'move', 'first', 'also', 'use', 'it', 'like']","['please', 'already', 'monday', 'move', 'first', 'also', 'use', 'it', 'like']",please already monday move first also use it like,0.407,0.0,0.593,positive
waduh kenapa nih kak spill dong buat bisa hati lagi kalau mau pakai jasa nya,waduh kenapa nih kak spill dong buat bisa hati lagi kalau mau pakai jasa nya,"wow, why is this spill, you can get a heart again if you want to use the services",wow spill get heart want use services,"['wow', 'spill', 'get', 'heart', 'want', 'use', 'services']","['wow', 'spill', 'get', 'heart', 'want', 'use', 'service']",wow spill get heart want use service,0.699,0.0,0.301,positive
KAGA JELAS LU,KAGA JELAS LU,kaga clearly,kaga clearly,"['kaga', 'clearly']","['kaga', 'clearly']",kaga clearly,0.73,0.0,0.27,positive
kalau dipikir sicepat Sedang edan kali yaaa kirim barang kemarin malam sudah banyak yang laporan barangnya sudah sampe hari iniii bnrn tidak sampe jam,kalau dipikir Sedang edan kali yaaa kirim barang kemarin malam sudah banyak yang laporan barangnya sudah sampe hari iniii bnrn tidak sampe jam,"if you think about it is crazy, yes, you will send the goods last night, there are many reports of the items until today",think crazy yes send goods last night many reports items today,"['think', 'crazy', 'yes', 'send', 'goods', 'last', 'night', 'many', 'reports', 'items', 'today']","['think', 'crazy', 'yes', 'send', 'good', 'last', 'night', 'many', 'report', 'item', 'today']",think crazy yes send good last night many report item today,0.35,0.15,0.5,positive
Hal ini bisa saja terjadi di ekspedisi lainnya Mohon thread pengalaman ini dibaca agar ekspedisi bisa mengawasi karyawannya sehingga kejadian yang sama tidak terulang lagi,Hal ini bisa saja terjadi di ekspedisi lainnya Mohon thread pengalaman ini dibaca agar ekspedisi bisa mengawasi karyawannya sehingga kejadian yang sama tidak terulang lagi,"this can happen in other expeditions, please thread this experience read so that the expedition can supervise its employees so that the same incident does not happen again",happen expeditions please thread experience read expedition supervise employees incident happen,"['happen', 'expeditions', 'please', 'thread', 'experience', 'read', 'expedition', 'supervise', 'employees', 'incident', 'happen']","['happen', 'expedition', 'please', 'thread', 'experience', 'read', 'expedition', 'supervise', 'employee', 'incident', 'happen']",happen expedition please thread experience read expedition supervise employee incident happen,0.187,0.0,0.813,positive
semoga kurir sicepat liat postingan ini dan dikirim before hari raya,semoga kurir liat postingan ini dan dikirim before hari raya,i hope the courier looks at this post and sent a holiday before,hope courier looks post sent holiday,"['hope', 'courier', 'looks', 'post', 'sent', 'holiday']","['hope', 'courier', 'look', 'post', 'sent', 'holiday']",hope courier look post sent holiday,0.583,0.0,0.417,positive
Maaf kalau gadak di pilihan tetapi saya selalu JampT SPX tu kalau saya gamau bayar ongkir jadi pilih pick up di agen oren so otomatis spx Sicepat normal sih kalau yang reguler yang agak laen tu yang gratis ongkir di ijo dptnya sicpat halu najis lama sangat sampe saya sudah ditahap halu juga,Maaf kalau gadak di pilihan tetapi saya selalu JampT tu kalau saya gamau bayar ongkir jadi pilih pick up di agen oren so otomatis normal sih kalau yang reguler yang agak laen tu yang gratis ongkir di ijo dptnya sicpat halu najis lama sangat sampe saya sudah ditahap halu juga,"sorry if the gadak is in the choice but i always have to spend if i don't pay for postage so i choose pick up at the oren agent so it's normal if the regular one is a bit other free on the green post on the green, it can be very long until i have been hung up too until i have been hung up too",sorry gadak choice always spend pay postage choose pick oren agent normal regular one bit free green post green long hung hung,"['sorry', 'gadak', 'choice', 'always', 'spend', 'pay', 'postage', 'choose', 'pick', 'oren', 'agent', 'normal', 'regular', 'one', 'bit', 'free', 'green', 'post', 'green', 'long', 'hung', 'hung']","['sorry', 'gadak', 'choice', 'always', 'spend', 'pay', 'postage', 'choose', 'pick', 'oren', 'agent', 'normal', 'regular', 'one', 'bit', 'free', 'green', 'post', 'green', 'long', 'hung', 'hung']",sorry gadak choice always spend pay postage choose pick oren agent normal regular one bit free green post green long hung hung,0.132,0.108,0.76,positive
Nih kejadian lagi di Di toko ijo kali ini Emng lngganan masalah Mending papke daph walopun Tidak gratis gpp tetapi cepet,Nih kejadian lagi di Di toko ijo kali ini Emng lngganan masalah Mending papke daph walopun Tidak gratis gpp tetapi cepet,"here is another incident at the ijo shop this time, i have a problem with papke, daph, walopun is not free, but it's fast",another incident ijo shop time problem papke daph walopun free fast,"['another', 'incident', 'ijo', 'shop', 'time', 'problem', 'papke', 'daph', 'walopun', 'free', 'fast']","['another', 'incident', 'ijo', 'shop', 'time', 'problem', 'papke', 'daph', 'walopun', 'free', 'fast']",another incident ijo shop time problem papke daph walopun free fast,0.31,0.174,0.516,positive
want to sell wts sonny angel hippers animal sealed aga penyok k after svid With bnf Ready Ina Pengiriman pilih sicepatjnejnt tag sonny angel lfb songel wts wtb sell sonny angel hippers harvest series sealed,want to sell wts sonny angel hippers animal sealed aga penyok k after svid With bnf Ready Ina Pengiriman pilih sicepatjnejnt tag sonny angel lfb songel wts wtb sell sonny angel hippers harvest series sealed,want to sell wts sonny angel hippers animal sealed aga dent after svid with bnf ready ina select sicepatjnejnt tag sonny angel lfb songel wts wtb sell sonny angel hippers harvest series sealed,want sell wts sonny angel hippers animal sealed aga dent svid bnf ready ina select sicepatjnejnt tag sonny angel lfb songel wts wtb sell sonny angel hippers harvest series sealed,"['want', 'sell', 'wts', 'sonny', 'angel', 'hippers', 'animal', 'sealed', 'aga', 'dent', 'svid', 'bnf', 'ready', 'ina', 'select', 'sicepatjnejnt', 'tag', 'sonny', 'angel', 'lfb', 'songel', 'wts', 'wtb', 'sell', 'sonny', 'angel', 'hippers', 'harvest', 'series', 'sealed']","['want', 'sell', 'wts', 'sonny', 'angel', 'hippers', 'animal', 'seal', 'aga', 'dent', 'svid', 'bnf', 'ready', 'ina', 'select', 'sicepatjnejnt', 'tag', 'sonny', 'angel', 'lfb', 'songel', 'wts', 'wtb', 'sell', 'sonny', 'angel', 'hippers', 'harvest', 'series', 'seal']",want sell wts sonny angel hippers animal seal aga dent svid bnf ready ina select sicepatjnejnt tag sonny angel lfb songel wts wtb sell sonny angel hippers harvest series seal,0.119,0.0,0.881,positive
Sudah semua telepon chat WA email jawabannya template tidak ada kejelasannya paket saya dimana tidak profesional,Sudah semua telepon chat WA email jawabannya template tidak ada kejelasannya paket saya dimana tidak profesional,already all calls chat wa email answer template there is no clarity of my package where it is not professional,already calls chat wa email answer template clarity package professional,"['already', 'calls', 'chat', 'wa', 'email', 'answer', 'template', 'clarity', 'package', 'professional']","['already', 'call', 'chat', 'wa', 'email', 'answer', 'template', 'clarity', 'package', 'professional']",already call chat wa email answer template clarity package professional,0.231,0.0,0.769,positive
cek dm dong,cek dm dong,check dm please,check dm please,"['check', 'dm', 'please']","['check', 'dm', 'please']",check dm please,0.535,0.0,0.465,positive
LAMBAT MASIH BELUM SAMPAI JUGAA JNE YES RASA REGULER Saking cepatnya tidak ada kabar nih paket Lebih baik wahana sicepat shopee express lion parcel jnt Lambatt lambattt Paket butuh hari kamis belum ada kabar,LAMBAT MASIH BELUM SAMPAI JUGAA YES RASA REGULER Saking cepatnya tidak ada kabar nih paket Lebih baik shopee express lion parcel Lambatt lambattt Paket butuh hari kamis belum ada kabar,"slowly it still hasn't arrived yet, the regular taste is so fast that there is no news, the package is better, the lion parcel shopee express is slow.",slowly still arrived yet regular taste fast news package better lion parcel shopee express slow,"['slowly', 'still', 'arrived', 'yet', 'regular', 'taste', 'fast', 'news', 'package', 'better', 'lion', 'parcel', 'shopee', 'express', 'slow']","['slowly', 'still', 'arrive', 'yet', 'regular', 'taste', 'fast', 'news', 'package', 'well', 'lion', 'parcel', 'shopee', 'express', 'slow']",slowly still arrive yet regular taste fast news package well lion parcel shopee express slow,0.211,0.088,0.702,positive
Capek dah sama mau chat di WhatsApp pun tidak berguna Balesnya pakai Bot Emang tidak niat bantuin customer Biar dah Sering saja begini Tinggal di boikot saja sekalian Mending ekspedisi lain,Capek dah sama mau chat di WhatsApp pun tidak berguna Balesnya pakai Bot Emang tidak niat bantuin customer Biar dah Sering saja begini Tinggal di boikot saja sekalian Mending ekspedisi lain,"i'm tired of wanting to chat on whatsapp, it's not useful to use the bot, we don't have the intention",im tired wanting chat whatsapp useful use bot intention,"['im', 'tired', 'wanting', 'chat', 'whatsapp', 'useful', 'use', 'bot', 'intention']","['im', 'tire', 'want', 'chat', 'whatsapp', 'useful', 'use', 'bot', 'intention']",im tire want chat whatsapp useful use bot intention,0.375,0.0,0.625,positive
kurirnya kebiasaan tidak pencet bel main tinggalin saja barang Awas saja lain kali barang saya diambil orang saya cari itu kurir,kurirnya kebiasaan tidak pencet bel main tinggalin saja barang Awas saja lain kali barang saya diambil orang saya cari itu kurir,"the courier is the habit of not pressing the bell just leave the alert item, next time my item is taken by my person.",courier habit pressing bell leave alert item next time item taken person,"['courier', 'habit', 'pressing', 'bell', 'leave', 'alert', 'item', 'next', 'time', 'item', 'taken', 'person']","['courier', 'habit', 'press', 'bell', 'leave', 'alert', 'item', 'next', 'time', 'item', 'take', 'person']",courier habit press bell leave alert item next time item take person,0.164,0.09,0.746,positive
Udah tetapi solusinya apa,Udah tetapi solusinya apa,already but what is the solution,already solution,"['already', 'solution']","['already', 'solution']",already solution,0.697,0.0,0.303,positive
jnt karena sudah tahu yang nganter kalau spx yang ngirim beda sicepat yang nganter kadang beda kalau ini cepat hari smpe kalau spx sama jnt hampir sama harian nyampe,karena sudah tahu yang nganter kalau yang ngirim beda yang nganter kadang beda kalau ini cepat hari smpe kalau sama hampir sama harian nyampe,"because you already know what is going to be the one who sent the different one that was different sometimes it was different if this was fast, if it was the same as the same as the daily arrived",already know going one sent different one different sometimes different fast daily arrived,"['already', 'know', 'going', 'one', 'sent', 'different', 'one', 'different', 'sometimes', 'different', 'fast', 'daily', 'arrived']","['already', 'know', 'go', 'one', 'sent', 'different', 'one', 'different', 'sometimes', 'different', 'fast', 'daily', 'arrive']",already know go one sent different one different sometimes different fast daily arrive,0.111,0.0,0.889,positive
Spx sama sicepat si lebih aman,sama si lebih aman,the same as safer,safer,['safer'],['safer'],safer,1.0,0.0,0.0,positive
yang tidak expreskirim barang hari sabtu dari bekasi tujuan cibitung sampai hari ini selasa belum sampai,yang tidak expreskirim barang hari sabtu dari bekasi tujuan cibitung sampai hari ini selasa belum sampai,who did not express the goods on saturday from bekasi to cibitung to today tuesday has not arrived,express goods saturday bekasi cibitung today tuesday arrived,"['express', 'goods', 'saturday', 'bekasi', 'cibitung', 'today', 'tuesday', 'arrived']","['express', 'good', 'saturday', 'bekasi', 'cibitung', 'today', 'tuesday', 'arrive']",express good saturday bekasi cibitung today tuesday arrive,0.293,0.0,0.707,positive
keliatan bet nipunya,keliatan bet nipunya,looks like the nipinya bet,looks like nipinya bet,"['looks', 'like', 'nipinya', 'bet']","['look', 'like', 'nipinya', 'bet']",look like nipinya bet,0.455,0.0,0.545,positive
Wkwk keknya emang tergantung wilayah deh di tempat saya malah pakai sicepat cepet banget nyampe nya,Wkwk keknya emang tergantung wilayah deh di tempat saya malah pakai cepet banget nyampe nya,wkwk the keknya it really depends on the area where i even use it so fast,wkwk keknya really depends area even use fast,"['wkwk', 'keknya', 'really', 'depends', 'area', 'even', 'use', 'fast']","['wkwk', 'keknya', 'really', 'depends', 'area', 'even', 'use', 'fast']",wkwk keknya really depends area even use fast,0.176,0.0,0.824,positive
sicepat perak perpaket nder kalau resinya tulis tangan,perak perpaket nder kalau resinya tulis tangan,silver publishing nder if the respect hand written,silver publishing nder respect hand written,"['silver', 'publishing', 'nder', 'respect', 'hand', 'written']","['silver', 'publishing', 'nder', 'respect', 'hand', 'write']",silver publishing nder respect hand write,0.612,0.0,0.388,positive
siapapun tolong culik dia dari us ke indo pakai sicepat express juga tidak apa apa tingkah nya makin hari makin gemasssh,siapapun tolong culik dia dari us ke indo pakai express juga tidak apa apa tingkah nya makin hari makin gemasssh,"anyone please kidnap him from us to indo using express, it's also okay, his behavior is getting more and more gemessh",anyone please kidnap us indo using express also okay behavior getting gemessh,"['anyone', 'please', 'kidnap', 'us', 'indo', 'using', 'express', 'also', 'okay', 'behavior', 'getting', 'gemessh']","['anyone', 'please', 'kidnap', 'u', 'indo', 'use', 'express', 'also', 'okay', 'behavior', 'get', 'gemessh']",anyone please kidnap u indo use express also okay behavior get gemessh,0.296,0.0,0.704,positive
kalau memang barangnya tidak bisa diantar sesuai dengan estimasi waktu tolong statusnya tidak usah diupdate dengan keterangan sedang diantar ke alamat tujuan,kalau memang barangnya tidak bisa diantar sesuai dengan estimasi waktu tolong statusnya tidak usah diupdate dengan keterangan sedang diantar ke alamat tujuan,"if indeed the goods cannot be delivered in accordance with the estimated time, help the status need not be updated with information being delivered to the destination address",indeed goods cannot delivered accordance estimated time help status need updated information delivered destination address,"['indeed', 'goods', 'cannot', 'delivered', 'accordance', 'estimated', 'time', 'help', 'status', 'need', 'updated', 'information', 'delivered', 'destination', 'address']","['indeed', 'good', 'cannot', 'deliver', 'accordance', 'estimate', 'time', 'help', 'status', 'need', 'update', 'information', 'deliver', 'destination', 'address']",indeed good cannot deliver accordance estimate time help status need update information deliver destination address,0.301,0.0,0.699,positive
Tolong balas wa nya dong kakini tidak ada tlpn tidak ada apa tiba tiba dah sampe terus tidak tahu siapa yang nerima Gk jelas fotonyatetangga juga tidak ada yang tahu,Tolong balas wa nya dong kakini tidak ada tlpn tidak ada apa tiba tiba dah sampe terus tidak tahu siapa yang nerima Gk jelas fotonyatetangga juga tidak ada yang tahu,"please reply to the wa, then there is no tlpn, there is nothing suddenly until it continues to not know who is the one who accepted it clear",please reply wa tlpn nothing suddenly continues know one accepted clear,"['please', 'reply', 'wa', 'tlpn', 'nothing', 'suddenly', 'continues', 'know', 'one', 'accepted', 'clear']","['please', 'reply', 'wa', 'tlpn', 'nothing', 'suddenly', 'continue', 'know', 'one', 'accepted', 'clear']",please reply wa tlpn nothing suddenly continue know one accepted clear,0.467,0.0,0.533,positive
sicepat malah tidak cepat,malah tidak cepat,even not fast,even fast,"['even', 'fast']","['even', 'fast']",even fast,0.6,0.0,0.4,positive
temenku juga gini kadang pas mau ngirim barang kakk tetapi pas aktifin sicepat bisaa,temenku juga gini kadang pas mau ngirim barang kakk tetapi pas aktifin bisaa,"my friend is also like this sometimes when i want to send the item, but when i activate it can",friend also like sometimes want send item activate,"['friend', 'also', 'like', 'sometimes', 'want', 'send', 'item', 'activate']","['friend', 'also', 'like', 'sometimes', 'want', 'send', 'item', 'activate']",friend also like sometimes want send item activate,0.583,0.0,0.417,positive
sicepat tidak ada cepat cepatnya,tidak ada cepat cepatnya,there is no fast,fast,['fast'],['fast'],fast,1.0,0.0,0.0,positive
eh seriusan seng saya jnt sama sicepat yang plng amn sejauh ini,eh seriusan seng saya sama yang plng amn sejauh ini,eh seriously zinc the same as the safest so far,eh seriously zinc safest far,"['eh', 'seriously', 'zinc', 'safest', 'far']","['eh', 'seriously', 'zinc', 'safest', 'far']",eh seriously zinc safest far,0.365,0.23,0.405,positive
sbt gais ada yang tahu ini sender harus ngapain tempel resi manual saja bisa kan Sicepat halu ini,sbt gais ada yang tahu ini sender harus ngapain tempel resi manual saja bisa kan halu ini,sbt gais anyone knows this should be like this manual receipt can be this right?,sbt gais anyone knows like manual receipt right,"['sbt', 'gais', 'anyone', 'knows', 'like', 'manual', 'receipt', 'right']","['sbt', 'gais', 'anyone', 'know', 'like', 'manual', 'receipt', 'right']",sbt gais anyone know like manual receipt right,0.263,0.0,0.737,positive
bantuin dong pembelijangan karena silambat tidak mau pickup pembeli jadi rugi waktu,bantuin dong pembelijangan karena silambat tidak mau pickup pembeli jadi rugi waktu,help the limb because the silambat does not want to pick up the buyer so it is a loss of time,help limb silambat want pick buyer loss time,"['help', 'limb', 'silambat', 'want', 'pick', 'buyer', 'loss', 'time']","['help', 'limb', 'silambat', 'want', 'pick', 'buyer', 'loss', 'time']",help limb silambat want pick buyer loss time,0.354,0.204,0.442,positive
admin paket saya kok belum sampai ya padahal saya pakai yang express biar cepet sampai Terus juga kok tidak ada tidak yang bisa dikontak sih,admin paket saya kok belum sampai ya padahal saya pakai yang express biar cepet sampai Terus juga kok tidak ada tidak yang bisa dikontak sih,"admin my package, how come i haven't arrived yet, even though i use the express, so i don't get it fast until it continues, how come there is nothing that can be contacted",admin package come arrived yet even though use express get fast continues come nothing contacted,"['admin', 'package', 'come', 'arrived', 'yet', 'even', 'though', 'use', 'express', 'get', 'fast', 'continues', 'come', 'nothing', 'contacted']","['admin', 'package', 'come', 'arrive', 'yet', 'even', 'though', 'use', 'express', 'get', 'fast', 'continue', 'come', 'nothing', 'contact']",admin package come arrive yet even though use express get fast continue come nothing contact,0.097,0.0,0.903,positive
Engga juga seperti yang terupload di video saya bekerja di bagian sortir barang di Sicepat Expres Blitar Setiap barang yang datang dari gudang Malang kita perlakukan selayaknya orang Scan In dan orang menurunkan barang dari Truk lintasnya persatu Sticker Fragile,Engga juga seperti yang terupload di video saya bekerja di bagian sortir barang di Expres Blitar Setiap barang yang datang dari gudang Malang kita perlakukan selayaknya orang Scan In dan orang menurunkan barang dari Truk lintasnya persatu Sticker Fragile,"not as uploaded in my video working in the sorting goods in the blitar express every item that comes from the poor warehouse, we treat it like a scan of in and people lower the goods from the truck crossing the sticker fragile",uploaded video working sorting goods blitar express every item comes poor warehouse treat like scan people lower goods truck crossing sticker fragile,"['uploaded', 'video', 'working', 'sorting', 'goods', 'blitar', 'express', 'every', 'item', 'comes', 'poor', 'warehouse', 'treat', 'like', 'scan', 'people', 'lower', 'goods', 'truck', 'crossing', 'sticker', 'fragile']","['uploaded', 'video', 'work', 'sort', 'good', 'blitar', 'express', 'every', 'item', 'come', 'poor', 'warehouse', 'treat', 'like', 'scan', 'people', 'low', 'good', 'truck', 'cross', 'sticker', 'fragile']",uploaded video work sort good blitar express every item come poor warehouse treat like scan people low good truck cross sticker fragile,0.342,0.161,0.497,positive
duh paling mls kalau tokped pakai jne hmm kmrn sicepat sudah bagus ni kenapa blik lagi pakai jne,duh paling mls kalau tokped pakai hmm kmrn sudah bagus ni kenapa blik lagi pakai,"duh the most mls if the tokped use hmm is already good, why can you use it again",duh mls tokped use hmm already good use,"['duh', 'mls', 'tokped', 'use', 'hmm', 'already', 'good', 'use']","['duh', 'ml', 'tokped', 'use', 'hmm', 'already', 'good', 'use']",duh ml tokped use hmm already good use,0.293,0.0,0.707,positive
tetapi ya sudah lah kak moon tidak apa apa dah kejadian,tetapi ya sudah lah kak moon tidak apa apa dah kejadian,"but yes, sis moon is okay",yes sis moon okay,"['yes', 'sis', 'moon', 'okay']","['yes', 'si', 'moon', 'okay']",yes si moon okay,0.697,0.0,0.303,positive
Guys mau tanya dong ada yang suka pakai ekspedisi sicepat tidak untuk pengiriman Itu emg kalau paketnya sudah didrop tuh statusnya emg lama ya berubahnya Apa bagaimana,Guys mau tanya dong ada yang suka pakai ekspedisi tidak untuk pengiriman Itu emg kalau paketnya sudah didrop tuh statusnya emg lama ya berubahnya Apa bagaimana,"guys want to ask, someone who likes to use expeditions is not for shipping, if the package has been dropped, the status is long, it changes",guys want ask someone likes use expeditions shipping package dropped status long changes,"['guys', 'want', 'ask', 'someone', 'likes', 'use', 'expeditions', 'shipping', 'package', 'dropped', 'status', 'long', 'changes']","['guy', 'want', 'ask', 'someone', 'like', 'use', 'expedition', 'shipping', 'package', 'drop', 'status', 'long', 'change']",guy want ask someone like use expedition shipping package drop status long change,0.239,0.132,0.629,positive
sicepat kek tai ya sekarang lama bangettt,kek tai ya sekarang lama bangettt,kek tai yes now it's so long,kek tai yes long,"['kek', 'tai', 'yes', 'long']","['kek', 'tai', 'yes', 'long']",kek tai yes long,0.474,0.0,0.526,positive
Nah ituu saya belum punya tidak kurirnya waktu tanya ke kurir sicepat yang biasanya nganter barang katanya bagian pick up sama anter barang tuh beda jadi saya bingung,Nah ituu saya belum punya tidak kurirnya waktu tanya ke kurir yang biasanya nganter barang katanya bagian pick up sama anter barang tuh beda jadi saya bingung,"well, i don't have the courier when i ask the courier who usually takes the goods, he said the pick up part and the anter of the item are different so i'm confused",well courier ask courier usually takes goods said pick part anter item different im confused,"['well', 'courier', 'ask', 'courier', 'usually', 'takes', 'goods', 'said', 'pick', 'part', 'anter', 'item', 'different', 'im', 'confused']","['well', 'courier', 'ask', 'courier', 'usually', 'take', 'good', 'say', 'pick', 'part', 'anter', 'item', 'different', 'im', 'confuse']",well courier ask courier usually take good say pick part anter item different im confuse,0.265,0.101,0.635,positive
tolong dong bagaimana ini admin sudah komplain gaada perubahan juga,tolong dong bagaimana ini admin sudah komplain gaada perubahan juga,please please do this the admin has complained no change either,please please admin complained change either,"['please', 'please', 'admin', 'complained', 'change', 'either']","['please', 'please', 'admin', 'complain', 'change', 'either']",please please admin complain change either,0.455,0.248,0.297,positive
Weh sicepat cepet sangat Baru dikirim kemaren malem terus sekarang sudah sampe Gua pikir sampe nya bakalan besok,Weh cepet sangat Baru dikirim kemaren malem terus sekarang sudah sampe Gua pikir sampe nya bakalan besok,"weh, very fast, just sent yesterday, then i was now until i thought it would be tomorrow",weh fast sent yesterday thought would tomorrow,"['weh', 'fast', 'sent', 'yesterday', 'thought', 'would', 'tomorrow']","['weh', 'fast', 'sent', 'yesterday', 'thought', 'would', 'tomorrow']",weh fast sent yesterday thought would tomorrow,0.2,0.0,0.8,positive
sudah pakai pengiriman sicepat best biar nyampe kemarin malah lama banget dikirimnya sudah hari lebih lama dari reguler shopee express gunanya sicepat best itu apa sih menyesal kalau tidak bisa cepat jangan buat pengiriman next day,sudah pakai pengiriman best biar nyampe kemarin malah lama banget dikirimnya sudah hari lebih lama dari reguler shopee express gunanya best itu apa sih menyesal kalau tidak bisa cepat jangan buat pengiriman next day,"already used the best shipping so that it arrived yesterday it was really long sent for a longer day than the regular shopee express, the use of the best is regret if it can't be fast, don't make the next day shipping",already used best shipping arrived yesterday really long sent longer day regular shopee express use best regret cant fast make next day shipping,"['already', 'used', 'best', 'shipping', 'arrived', 'yesterday', 'really', 'long', 'sent', 'longer', 'day', 'regular', 'shopee', 'express', 'use', 'best', 'regret', 'cant', 'fast', 'make', 'next', 'day', 'shipping']","['already', 'use', 'best', 'shipping', 'arrive', 'yesterday', 'really', 'long', 'sent', 'longer', 'day', 'regular', 'shopee', 'express', 'use', 'best', 'regret', 'cant', 'fast', 'make', 'next', 'day', 'shipping']",already use best shipping arrive yesterday really long sent longer day regular shopee express use best regret cant fast make next day shipping,0.266,0.132,0.602,positive
Sicepat tidak jelas banget sumpah dah,tidak jelas banget sumpah dah,it's not very clear to swear,clear swear,"['clear', 'swear']","['clear', 'swear']",clear swear,0.684,0.316,0.0,positive
Perusahaan ekspedisi yang tidak bertanggung jawab dan merugikan orang kain,Perusahaan ekspedisi yang tidak bertanggung jawab dan merugikan orang kain,an expedition company that is not responsible and detrimental to others,expedition company responsible detrimental others,"['expedition', 'company', 'responsible', 'detrimental', 'others']","['expedition', 'company', 'responsible', 'detrimental', 'others']",expedition company responsible detrimental others,0.365,0.0,0.635,positive
Ini bagaimana yah admin solusinya apa jangan garagara di kota saya tidak ada expedisi pengiriman sicepat yha Soal nya di kota saya tidak ada sicepat mohon di tindak lanjuti,Ini bagaimana yah admin solusinya apa jangan garagara di kota saya tidak ada expedisi pengiriman yha Soal nya di kota saya tidak ada mohon di tindak lanjuti,"this is what the solution admin is the solution, don't garagara in my city, there is no shipping expedition about the city in my city, please follow up",solution admin solution garagara city shipping expedition city city please follow,"['solution', 'admin', 'solution', 'garagara', 'city', 'shipping', 'expedition', 'city', 'city', 'please', 'follow']","['solution', 'admin', 'solution', 'garagara', 'city', 'shipping', 'expedition', 'city', 'city', 'please', 'follow']",solution admin solution garagara city shipping expedition city city please follow,0.463,0.0,0.537,positive
ya allah berikan hamba kekuatan ke sicepat ya allah,ya allah berikan hamba kekuatan ke ya allah,"o allah, give me the strength to god",allah give strength god,"['allah', 'give', 'strength', 'god']","['allah', 'give', 'strength', 'god']",allah give strength god,0.726,0.0,0.274,positive
Sicepat paling cepet jnt tepat waktu nganternya maksudnya tidak dianter pas asharmagrib,paling cepet tepat waktu nganternya maksudnya tidak dianter pas asharmagrib,"the fastest time on time, it means that it is not delivered when asr maghrib",fastest time time means delivered asr maghrib,"['fastest', 'time', 'time', 'means', 'delivered', 'asr', 'maghrib']","['fast', 'time', 'time', 'mean', 'deliver', 'asr', 'maghrib']",fast time time mean deliver asr maghrib,0.2,0.0,0.8,positive
admin cek dm ya,admin cek dm ya,admin check dm yes,admin check dm yes,"['admin', 'check', 'dm', 'yes']","['admin', 'check', 'dm', 'yes']",admin check dm yes,0.474,0.0,0.526,positive
haloo admin paket boleh di bantu di kirim ulang ke penerima ini kok tiba tiba di retur padahal penerima ada di rumah paketnya urgent admin,haloo admin paket boleh di bantu di kirim ulang ke penerima ini kok tiba tiba di retur padahal penerima ada di rumah paketnya urgent admin,"hello admin package can be helped to be re -send to this recipient, how come suddenly in the return even though the recipient is at the packet house urgent admin",hello admin package helped send recipient come suddenly return even though recipient packet house urgent admin,"['hello', 'admin', 'package', 'helped', 'send', 'recipient', 'come', 'suddenly', 'return', 'even', 'though', 'recipient', 'packet', 'house', 'urgent', 'admin']","['hello', 'admin', 'package', 'help', 'send', 'recipient', 'come', 'suddenly', 'return', 'even', 'though', 'recipient', 'packet', 'house', 'urgent', 'admin']",hello admin package help send recipient come suddenly return even though recipient packet house urgent admin,0.243,0.0,0.757,positive
sicepat kongtol paket saya lama benar dah,kongtol paket saya lama benar dah,my package congtol is true for a long time,package congtol true long time,"['package', 'congtol', 'true', 'long', 'time']","['package', 'congtol', 'true', 'long', 'time']",package congtol true long time,0.412,0.0,0.588,positive
