,full_text,cleaned_text,translated_text,stopwords,tweet_tokenize,tokens_lemmatized
222,woe paket gw slah kirim ke alamat mana nih anjir yaelah paket gede loh ini,WOE PAKET GW SLAH KIRIM KE ALAMAT MANA NIH ANJIR YAELAH PAKET GEDE LOH INI,woe my package is sent to which address is this big package,woe package sent address big package,"['woe', 'package', 'sent', 'address', 'big', 'package']","['woe', 'package', 'sent', 'address', 'big', 'package']"
223,kapok dehhhhhhhhhhh sicepat jg sama aja kadang kaya gitu,KAPOK DEHHHHHHHHHHH jg sama aja kadang kaya gitu,"kapok dehh, it's the same sometimes like that",kapok dehh sometimes like,"['kapok', 'dehh', 'sometimes', 'like']","['kapok', 'dehh', 'sometimes', 'like']"
224,sicepat namanya doang cepat aslinya lelet,namanya doang cepat aslinya lelet,the name is just fast as a fast,name fast fast,"['name', 'fast', 'fast']","['name', 'fast', 'fast']"
225,sama paket saya juga stuck disitu terus udah dari tanggal  juni,Sama paket saya juga stuck disitu terus udah dari tanggal Juni,"the same package, i also stuck there, i have been from june",package also stuck there june,"['package', 'also', 'stuck', 'there', 'june']","['package', 'also', 'stuck', 'there', 'june']"
226,save amp share dibuka lowongan baru di perusahaan si cepat yang minat komen dibawah yuk,SAVE amp SHARE dibuka lowongan baru di perusahaan Si Cepat Yang minat komen dibawah yuk,save amp share opens new vacancies at the fast si company that is interested in commenting below,save amp share opens new vacancies fast si company interested commenting,"['save', 'amp', 'share', 'opens', 'new', 'vacancies', 'fast', 'si', 'company', 'interested', 'commenting']","['save', 'amp', 'share', 'open', 'new', 'vacancy', 'fast', 'si', 'company', 'interested', 'comment']"
227, paket ini mana ih kirim dong lama bgt,paket ini mana ih kirim dong lama bgt,"where is this package, i will send it for a long time",package send long time,"['package', 'send', 'long', 'time']","['package', 'send', 'long', 'time']"
228,eh masa stuck aja sih kirim dong cepetan,eh masa stuck aja sih kirim dong cepetan,"eh, just stuck, please send it fast",eh stuck please send fast,"['eh', 'stuck', 'please', 'send', 'fast']","['eh', 'stuck', 'please', 'send', 'fast']"
229,min tolong dong ini paketku dari kemarin belum diantar ke rumah saya butuh barangnya buat hari ini,min tolong dong ini paketku dari kemarin belum diantar ke rumah saya butuh barangnya buat hari ini,"min, please please this package from yesterday, i haven't been delivered to my house, i need the goods for today",min please please package yesterday delivered house need goods today,"['min', 'please', 'please', 'package', 'yesterday', 'delivered', 'house', 'need', 'goods', 'today']","['min', 'please', 'please', 'package', 'yesterday', 'deliver', 'house', 'need', 'good', 'today']"
230,spx bjir lu kalah cepet sama paket sicepat yang baru dikirim  hari lalu,Spx bjir lu kalah cepet sama paket yang baru dikirim hari lalu,spx bjir you lost quickly with the package that just sent last day,spx bjir lost quickly package sent last day,"['spx', 'bjir', 'lost', 'quickly', 'package', 'sent', 'last', 'day']","['spx', 'bjir', 'lose', 'quickly', 'package', 'sent', 'last', 'day']"
231,tw sicepat kasian pacarku sampai trauma begini gara gara sicepaf,tw kasian pacarku sampai trauma begini gara gara sicepaf,twent my boyfriend trauma like this because of sicepaf,twent boyfriend trauma like sicepaf,"['twent', 'boyfriend', 'trauma', 'like', 'sicepaf']","['twent', 'boyfriend', 'trauma', 'like', 'sicepaf']"
232,niatnya mau ke cabang sicepat malah telat bangun,niatnya mau ke cabang malah telat bangun,the intention to go to the branch is even late to wake up,intention go branch even late wake,"['intention', 'go', 'branch', 'even', 'late', 'wake']","['intention', 'go', 'branch', 'even', 'late', 'wake']"
233,sicepat tuh lagi lama ya bisanya aku kalau pakai sicepat tuh  hari udah sampai lah ini dari tanggal  blm nyampe juga padahal cuma dari bekasi,tuh lagi lama ya Bisanya aku kalau pakai tuh hari udah sampai lah ini dari tanggal blm nyampe juga padahal cuma dari Bekasi,"it's been a long time, i usually use it, if i use it, it's already arrived from the date, even though it's only from bekasi",long time usually use it use it already arrived date even though bekasi,"['long', 'time', 'usually', 'use', 'it', 'use', 'it', 'already', 'arrived', 'date', 'even', 'though', 'bekasi']","['long', 'time', 'usually', 'use', 'it', 'use', 'it', 'already', 'arrive', 'date', 'even', 'though', 'bekasi']"
234,aku event kemaren pake semua jnt jne pos anteraja sicepat lelet semua belom nyampe d yang agak normal spx doang,aku event kemaren pake semua lelet semua belom nyampe D yang agak normal spx doang,i used all the events to use all the slow all not yet arrived at the rather normal spx,used events use slow yet arrived rather normal spx,"['used', 'events', 'use', 'slow', 'yet', 'arrived', 'rather', 'normal', 'spx']","['use', 'event', 'use', 'slow', 'yet', 'arrive', 'rather', 'normal', 'spx']"
235,sicepat kongtol paket gue lama bener dah,kongtol paket gue lama bener dah,my packet jugtol is really a long time,packet jugtol really long time,"['packet', 'jugtol', 'really', 'long', 'time']","['packet', 'jugtol', 'really', 'long', 'time']"
236,najisssssssssssssssssssws sicepat taii bat seminggu paket gua lu inepin anj,NAJISSSSSSSSSSSSSSSSSSSWS TAII BAT SEMINGGU PAKET GUA LU INEPIN ANJ,najissws taii bat,najissws taii bat,"['najissws', 'taii', 'bat']","['najissws', 'taii', 'bat']"
237,ini jne ama sicepat lagi lelet bgt jnt spx better kak,ini ama lagi lelet bgt spx better kak,"this is really slow, it's really good, sis",really slow really good sis,"['really', 'slow', 'really', 'good', 'sis']","['really', 'slow', 'really', 'good', 'si']"
238,sicepat,,"the json object must be str, bytes or bytearray, not nonetype",json object must str bytes bytearray nonetype,"['json', 'object', 'must', 'str', 'bytes', 'bytearray', 'nonetype']","['json', 'object', 'must', 'str', 'byte', 'bytearray', 'nonetype']"
239,kenapa whatsapp slow respon sekali ya saya ada beberapa kendala tolong segera di tanggapi,kenapa whatsapp slow respon sekali ya saya ada beberapa kendala tolong segera di tanggapi,"why is whatsapp slow response so i have some obstacles, please respond immediately",whatsapp slow response obstacles please respond immediately,"['whatsapp', 'slow', 'response', 'obstacles', 'please', 'respond', 'immediately']","['whatsapp', 'slow', 'response', 'obstacle', 'please', 'respond', 'immediately']"
240,ada yg org jogja dan pernah pake sicepat gaa boleh minta nomor kurir sicepat ga ya urgent banget,ada yg org jogja dan pernah pake gaa boleh minta nomor kurir ga ya urgent banget,"there are people who are jogja and have used not to ask for a courier number, it's really urgent",people jogja used ask courier number really urgent,"['people', 'jogja', 'used', 'ask', 'courier', 'number', 'really', 'urgent']","['people', 'jogja', 'use', 'ask', 'courier', 'number', 'really', 'urgent']"
241,min nomor resi ini  bisa diupdate per hari ini status terakhir masih di hari selasa jam  pagi,Min nomor resi ini bisa diupdate per hari ini Status terakhir masih di hari Selasa jam pagi,"min, this receipt number can be updated per today the last status is still on tuesday morning",min receipt number updated per today last status still tuesday morning,"['min', 'receipt', 'number', 'updated', 'per', 'today', 'last', 'status', 'still', 'tuesday', 'morning']","['min', 'receipt', 'number', 'update', 'per', 'today', 'last', 'status', 'still', 'tuesday', 'morning']"
242,ga biasanya marahmarah karena waktu dah mepet tapi barang belom sampe soalnya selalu estimasi sendiri lama perjalanannya tapi inimah emang aja yg jelek kirim dari jkt padahal,Ga biasanya marahmarah karena waktu dah mepet tapi barang belom sampe soalnya selalu estimasi sendiri lama perjalanannya Tapi inimah emang aja yg jelek Kirim dari Jkt padahal,"it's not usually angry because the time is tight but the item hasn't arrived yet because the estimation is always an estimate of the trip for a long time, but this is the ugly one, sending from jkt even though",usually angry time tight item arrived yet estimation always estimate trip long time ugly one sending jkt even though,"['usually', 'angry', 'time', 'tight', 'item', 'arrived', 'yet', 'estimation', 'always', 'estimate', 'trip', 'long', 'time', 'ugly', 'one', 'sending', 'jkt', 'even', 'though']","['usually', 'angry', 'time', 'tight', 'item', 'arrive', 'yet', 'estimation', 'always', 'estimate', 'trip', 'long', 'time', 'ugly', 'one', 'send', 'jkt', 'even', 'though']"
243,min ini kok dari kemarin paket saya statusnya begini nanya di whatsapp yang jawab bot,min ini kok dari kemarin paket saya statusnya begini nanya di whatsapp yang jawab bot,"min, how come from yesterday my package was the status like this asking on whatsapp who answered the bot",min come yesterday package status like asking whatsapp answered bot,"['min', 'come', 'yesterday', 'package', 'status', 'like', 'asking', 'whatsapp', 'answered', 'bot']","['min', 'come', 'yesterday', 'package', 'status', 'like', 'ask', 'whatsapp', 'answer', 'bot']"
244,maksud gue kalo emang gabisa sesuai estimasi waktu gausah pake segala status paket sedang diantar ke alamat tujuan ujung ujung ditunda dengan alasan yang gak jelas,maksud gue kalo emang gabisa sesuai estimasi waktu gausah pake segala status paket sedang diantar ke alamat tujuan ujung ujung ditunda dengan alasan yang gak jelas,i mean if it can't be according to the estimation of time not to use all the status of the package is being delivered to the destination address ujung is postponed for unclear reasons,mean cant according estimation time use status package delivered destination address ujung postponed unclear reasons,"['mean', 'cant', 'according', 'estimation', 'time', 'use', 'status', 'package', 'delivered', 'destination', 'address', 'ujung', 'postponed', 'unclear', 'reasons']","['mean', 'cant', 'accord', 'estimation', 'time', 'use', 'status', 'package', 'deliver', 'destination', 'address', 'ujung', 'postpone', 'unclear', 'reason']"
245,sicepat jg lama,jg lama,too long,long,['long'],['long']
246,bener di wa juga jawab lama,Bener di wa juga jawab lama,really in wa too long answer,really wa long answer,"['really', 'wa', 'long', 'answer']","['really', 'wa', 'long', 'answer']"
247,lamaknye sicepat ngantar paket tok ee,lamaknye ngantar paket tok ee,lamaknye delivered the package tok ee,lamaknye delivered package tok ee,"['lamaknye', 'delivered', 'package', 'tok', 'ee']","['lamaknye', 'deliver', 'package', 'tok', 'ee']"
248,sudah saya chat lewat whatsapp tapi nihil tidak ada solusi karena chat dari pihak kalian stuck,sudah saya chat lewat whatsapp tapi nihil tidak ada solusi karena chat dari pihak kalian stuck,i have chatted via whatsapp but nothing has a solution because you chat from your side,chatted via whatsapp nothing solution chat side,"['chatted', 'via', 'whatsapp', 'nothing', 'solution', 'chat', 'side']","['chat', 'via', 'whatsapp', 'nothing', 'solution', 'chat', 'side']"
249,beruntung nya tempat drop paket di daerah ku ini ada  counter dia isinya shopee jnt sicepat jd kalo buyer ku random semua aku gak masalah tinggal drop aja ke  tempat hshshs,Beruntung nya tempat drop paket di daerah ku ini ada counter dia isinya shopee jd kalo buyer ku random semua aku gak masalah tinggal drop aja ke tempat hshshs,"luckily the place to drop the package in my area there is a counter, the contents are shopee so if my buyer is random all i don't have a problem, just drop it to the hshshs place",luckily place drop package area counter contents shopee buyer random problem drop hshshs place,"['luckily', 'place', 'drop', 'package', 'area', 'counter', 'contents', 'shopee', 'buyer', 'random', 'problem', 'drop', 'hshshs', 'place']","['luckily', 'place', 'drop', 'package', 'area', 'counter', 'content', 'shopee', 'buyer', 'random', 'problem', 'drop', 'hshshs', 'place']"
250,kalo memang barangnya tidak bisa diantar sesuai dengan estimasi waktu tolong statusnya tidak usah diupdate dengan keterangan sedang diantar ke alamat tujuan,kalo memang barangnya tidak bisa diantar sesuai dengan estimasi waktu tolong statusnya tidak usah diupdate dengan keterangan sedang diantar ke alamat tujuan,"if indeed the goods cannot be delivered in accordance with the estimated time, help the status do not need to be updated with information being delivered to the destination address",indeed goods cannot delivered accordance estimated time help status need updated information delivered destination address,"['indeed', 'goods', 'cannot', 'delivered', 'accordance', 'estimated', 'time', 'help', 'status', 'need', 'updated', 'information', 'delivered', 'destination', 'address']","['indeed', 'good', 'cannot', 'deliver', 'accordance', 'estimate', 'time', 'help', 'status', 'need', 'update', 'information', 'deliver', 'destination', 'address']"
251,udah saya hubungi tapi gak nemu solusi min gak mau jawaban template mulu ah cape lho pake ekspedisi kalian tapi gak ada perubahan signifikan,Udah saya hubungi tapi gak nemu solusi min Gak mau jawaban template mulu ah Cape lho pake ekspedisi kalian tapi gak ada perubahan signifikan,"i already contacted but i didn't find a solution, min, i didn't want the answer to the template, you were tired, you used to use your expedition, but there was no significant change",already contacted find solution min want answer template tired used use expedition significant change,"['already', 'contacted', 'find', 'solution', 'min', 'want', 'answer', 'template', 'tired', 'used', 'use', 'expedition', 'significant', 'change']","['already', 'contact', 'find', 'solution', 'min', 'want', 'answer', 'template', 'tire', 'use', 'use', 'expedition', 'significant', 'change']"
252,jnt lama bgt deh kalo ngepick up sicepat pun sama aja,lama bgt deh kalo ngepick up pun sama aja,it's been a long time if it's just the same,long time,"['long', 'time']","['long', 'time']"
253,sicepat gue benci sama lu sih,gue benci sama lu sih,i hate you,hate,['hate'],['hate']
254,kurir kalian kepo sekali sama pakey customer,kurir kalian kepo sekali sama pakey customer,your courier is very at the same as pakey customer,courier pakey customer,"['courier', 'pakey', 'customer']","['courier', 'pakey', 'customer']"
255,sama kak anjirrr masa hampir  minggu masih disortir di jakarta barat mulu dari tanggal  padahal,sama kak anjirrr masa hampir minggu masih disortir di jakarta barat mulu dari tanggal padahal,"with kak anjirr, almost a week still sorted in west jakarta from the date in fact",kak anjirr almost week still sorted west jakarta date fact,"['kak', 'anjirr', 'almost', 'week', 'still', 'sorted', 'west', 'jakarta', 'date', 'fact']","['kak', 'anjirr', 'almost', 'week', 'still', 'sort', 'west', 'jakarta', 'date', 'fact']"
256,iya spx sama sicepat langganan dateng malem jam ,iya spx sama langganan dateng malem jam,yes spx and subscribe to dateng night,yes spx subscribe dateng night,"['yes', 'spx', 'subscribe', 'dateng', 'night']","['yes', 'spx', 'subscribe', 'dateng', 'night']"
257,sudah wa respon lambat dan resi saya hilang gak ada di list aplikasi tolong jawabannya,sudah WA respon lambat dan resi saya hilang gak ada di list aplikasi tolong jawabannya,wa has a slow response and my receipt is missing not in the application list please answer,wa slow response receipt missing application list please answer,"['wa', 'slow', 'response', 'receipt', 'missing', 'application', 'list', 'please', 'answer']","['wa', 'slow', 'response', 'receipt', 'miss', 'application', 'list', 'please', 'answer']"
258,sicepat gtgtgtgtgt,gtgtgtgtgt,gtgtgtgtgt,gtgtgtgtgt,['gtgtgtgtgt'],['gtgtgtgtgt']
259,hidup lagi capek capeknya malah ditambah pengiriman pakai sicepat,hidup lagi capek capeknya malah ditambah pengiriman pakai,live again tired of tired even plus delivery of use,live tired tired even plus delivery use,"['live', 'tired', 'tired', 'even', 'plus', 'delivery', 'use']","['live', 'tire', 'tire', 'even', 'plus', 'delivery', 'use']"
260,ini kenapasih sicepat lemot banget tumbenan,Ini kenapasih lemot banget tumbenan,this is really slow,really slow,"['really', 'slow']","['really', 'slow']"
261,r u kidding me udah nunggu dri tgl  cok sicepat kenapa deh cape bgt gue,r u kidding me udah nunggu dri tgl cok kenapa deh cape bgt gue,r u kidding me already waiting for the cok on the cok why it's already tired,r u kidding already waiting cok cok already tired,"['r', 'u', 'kidding', 'already', 'waiting', 'cok', 'cok', 'already', 'tired']","['r', 'u', 'kid', 'already', 'wait', 'cok', 'cok', 'already', 'tire']"
262,ini keduanya pke sicepat satu co via tokped satunya di shopee liat aje itu sicepat dr tokped ampe  hari kerja ga waras ga lagi gue nyoba nyoba sicepat,ini keduanya pke satu co via tokped satunya di shopee liat aje itu dr tokped ampe hari kerja ga waras ga lagi gue nyoba nyoba,"this is both co -coated via the other tokped in shopee, see aje, from the tokped to the working day, i don't try to try it anymore",co coated via tokped shopee see aje tokped working day try try anymore,"['co', 'coated', 'via', 'tokped', 'shopee', 'see', 'aje', 'tokped', 'working', 'day', 'try', 'try', 'anymore']","['co', 'coat', 'via', 'tokped', 'shopee', 'see', 'aje', 'tokped', 'work', 'day', 'try', 'try', 'anymore']"
263,sicepat deket bubat atau telyu manasii njr dah muter gak nemuin,Deket Bubat atau telyu manasii njr dah muter gak nemuin,near bubat or tel u ritual njir and haven't found it,near bubat tel u ritual njir found,"['near', 'bubat', 'tel', 'u', 'ritual', 'njir', 'found']","['near', 'bubat', 'tel', 'u', 'ritual', 'njir', 'found']"
264,please dong min kasih kejelasan atau minimal update di webnya lah skrg udah tanggal  masalahnya update di webnya masih per  juni lemot amat,please dong min kasih kejelasan atau minimal update di webnya lah skrg udah tanggal masalahnya update di webnya masih per juni lemot amat,"please, min, give me a clarity or at least the update on the web is now the date the date is the update on the web is still very slow as of june",please min give clarity least update web date date update web still slow june,"['please', 'min', 'give', 'clarity', 'least', 'update', 'web', 'date', 'date', 'update', 'web', 'still', 'slow', 'june']","['please', 'min', 'give', 'clarity', 'least', 'update', 'web', 'date', 'date', 'update', 'web', 'still', 'slow', 'june']"
265,sicepat halu halu bgt cepetnya yg penting dpt voucher,halu halu bgt cepetnya yg penting dpt voucher,"halu halu, the most important thing is that it can be a voucher",halu halu important thing voucher,"['halu', 'halu', 'important', 'thing', 'voucher']","['halu', 'halu', 'important', 'thing', 'voucher']"
266,aku whatsapp juga jawaban template doang yg dikasih,aku whatsapp juga jawaban template doang yg dikasih,whatsapp account is also a template answer that is given,whatsapp account also template answer given,"['whatsapp', 'account', 'also', 'template', 'answer', 'given']","['whatsapp', 'account', 'also', 'template', 'answer', 'give']"
267,kelakuan klo ngasih kurir rekomendasi selalu gada yg benar dah dibilang pindahin ke sicepat malah ngasih kurir kocak kyk gini mana ini sebentar jam  malam kena batal otomatis pula,Kelakuan klo ngasih kurir rekomendasi selalu gada yg benar dah dibilang pindahin ke malah ngasih kurir kocak kyk gini Mana ini sebentar jam malam kena batal otomatis pula,"behavior if you give a courier the recommendation is always the right gada is already said to be moving to instead of giving a hilarious courier like this, where is this time for a moment at the time of being canceled automatically too",behavior give courier recommendation always right gada already said moving instead giving hilarious courier like this time moment time canceled automatically,"['behavior', 'give', 'courier', 'recommendation', 'always', 'right', 'gada', 'already', 'said', 'moving', 'instead', 'giving', 'hilarious', 'courier', 'like', 'this', 'time', 'moment', 'time', 'canceled', 'automatically']","['behavior', 'give', 'courier', 'recommendation', 'always', 'right', 'gada', 'already', 'say', 'move', 'instead', 'give', 'hilarious', 'courier', 'like', 'this', 'time', 'moment', 'time', 'cancel', 'automatically']"
268,min sy hari ini uda tutup opsi pengiriman barang via sicepat mengikuti jejak rekan sy muak banget sama jawaban bot dari admin kalian bisa lho kurir ga pickup barang berhari alasannya nyudutin seller terus evaluasi sistem dan kurir deh klo mau terus exist,Min sy hari ini uda tutup opsi pengiriman barang via mengikuti jejak rekan sy Muak banget sama jawaban bot dari admin kalian Bisa lho kurir ga pickup barang berhari alasannya nyudutin seller terus Evaluasi sistem dan kurir deh klo mau terus exist,"min, today i have closed the shipping option via follow in the footsteps of my colleague, i am very fed up with the bot answers from the admin, you know, you know, the courier is not pickup the goods, the reason is that the seller continues to evaluate the system and the courier if you want to continue to exist",min today closed shipping option via follow footsteps colleague fed bot answers admin know know courier pickup goods reason seller continues evaluate system courier want continue exist,"['min', 'today', 'closed', 'shipping', 'option', 'via', 'follow', 'footsteps', 'colleague', 'fed', 'bot', 'answers', 'admin', 'know', 'know', 'courier', 'pickup', 'goods', 'reason', 'seller', 'continues', 'evaluate', 'system', 'courier', 'want', 'continue', 'exist']","['min', 'today', 'close', 'shipping', 'option', 'via', 'follow', 'footstep', 'colleague', 'fed', 'bot', 'answer', 'admin', 'know', 'know', 'courier', 'pickup', 'good', 'reason', 'seller', 'continue', 'evaluate', 'system', 'courier', 'want', 'continue', 'exist']"
269,didm pun cuek parah min,diDM pun cuek Parah min,"didm was too ignorant, min",didm ignorant min,"['didm', 'ignorant', 'min']","['didm', 'ignorant', 'min']"
270,gua kan lagi nyari drop point sicepat ya terus nemu alamat ini kek kenapa ya jalan jembatan hitam tuh disingkatnya gini i mean,Gua kan lagi nyari drop point ya terus nemu alamat ini kek kenapa ya jalan jembatan hitam tuh disingkatnya gini I MEAN,"i'm looking for a drop point again, then i will find this address, why is the black bridge road abbreviated as i mean",im looking drop point again find address black bridge road abbreviated mean,"['im', 'looking', 'drop', 'point', 'again', 'find', 'address', 'black', 'bridge', 'road', 'abbreviated', 'mean']","['im', 'look', 'drop', 'point', 'again', 'find', 'address', 'black', 'bridge', 'road', 'abbreviate', 'mean']"
271,kenapa kurir sicepat lama banget pengirimannya ya padahal udah tinggal kirim ke alamat tapi dari kemarin gagal terus padahal dari pagi lohhh jangan sampe hari ini gagal lagi,kenapa kurir lama banget pengirimannya ya padahal udah tinggal kirim ke alamat tapi dari kemarin gagal terus padahal dari pagi lohhh jangan sampe hari ini gagal lagi,why is the courier so long the delivery is even though i have to send it to the address but from yesterday it failed to continue even though from morning you don't until today failed again,courier long delivery even though send address yesterday failed continue even though morning today failed,"['courier', 'long', 'delivery', 'even', 'though', 'send', 'address', 'yesterday', 'failed', 'continue', 'even', 'though', 'morning', 'today', 'failed']","['courier', 'long', 'delivery', 'even', 'though', 'send', 'address', 'yesterday', 'fail', 'continue', 'even', 'though', 'morning', 'today', 'fail']"
272,y su,Y su,y su,su,['su'],['su']
273,whatsapp lu kaga responsif chat gue dianggurin berharihari dibales pake bot doang email juga sama dibilang akan dihubungi gua tlp lu tiap hari min tapi paket gua kaga majumaju,Whatsapp lu kaga responsif Chat gue dianggurin berharihari Dibales pake bot doang Email juga sama dibilang akan dihubungi Gua tlp lu tiap hari min tapi paket gua kaga majumaju,"whatsapp you don't have responsive chat i am unemployed for days in the pars using bots, the same email will also be contacted by you, please, but the package of me is still majumaju",whatsapp responsive chat unemployed days pars using bots email also contacted you please package still majumaju,"['whatsapp', 'responsive', 'chat', 'unemployed', 'days', 'pars', 'using', 'bots', 'email', 'also', 'contacted', 'you', 'please', 'package', 'still', 'majumaju']","['whatsapp', 'responsive', 'chat', 'unemployed', 'day', 'par', 'use', 'bot', 'email', 'also', 'contact', 'you', 'please', 'package', 'still', 'majumaju']"
274,woy paket gw kemana udah x pesan pake sicepat selalu bermasalah pengirimannya kalau emang hub nya bermasalah ya digusur ganti lain aja woy hub purwoyoso semarang ngga ngotak,woy paket gw kemana Udah x pesan pake selalu bermasalah pengirimannya Kalau emang hub nya bermasalah ya digusur ganti lain aja woy hub purwoyoso semarang ngga ngotak,"woy my package where i already ordered using the delivery always the delivery if the hub has a problem, so it is evicted, just replace it, just woy hub purwoyoso semarang is not muscular",woy package already ordered using delivery always delivery hub problem evicted replace it woy hub purwoyoso semarang muscular,"['woy', 'package', 'already', 'ordered', 'using', 'delivery', 'always', 'delivery', 'hub', 'problem', 'evicted', 'replace', 'it', 'woy', 'hub', 'purwoyoso', 'semarang', 'muscular']","['woy', 'package', 'already', 'order', 'use', 'delivery', 'always', 'delivery', 'hub', 'problem', 'evict', 'replace', 'it', 'woy', 'hub', 'purwoyoso', 'semarang', 'muscular']"
275,btw mau lanjutin ini kemaren ada  buyer aku yang paketnya ga sampe dirumah padahal statusnya udh diterima oleh yg bersangkutan emang pentingnya komunikasi dulu antar sellerbuyer kemaren aku berusaha buat chat cs oren kurir pickup amp admin sicepat daerah rumah buat,btw mau lanjutin ini kemaren ada buyer aku yang paketnya ga sampe dirumah padahal statusnya udh diterima oleh yg bersangkutan emang pentingnya komunikasi dulu antar sellerbuyer kemaren aku berusaha buat chat cs oren kurir pickup amp admin daerah rumah buat,"btw i want to continue this yesterday there was a buyer of me whose package was not at home even though the status was received by the person concerned, the importance of communication first between the sellerbuyer yesterday i tried",btw want continue yesterday buyer whose package home even though status received person concerned importance communication first sellerbuyer yesterday tried,"['btw', 'want', 'continue', 'yesterday', 'buyer', 'whose', 'package', 'home', 'even', 'though', 'status', 'received', 'person', 'concerned', 'importance', 'communication', 'first', 'sellerbuyer', 'yesterday', 'tried']","['btw', 'want', 'continue', 'yesterday', 'buyer', 'whose', 'package', 'home', 'even', 'though', 'status', 'receive', 'person', 'concerned', 'importance', 'communication', 'first', 'sellerbuyer', 'yesterday', 'try']"
276,ini gimana dah orang mau jualan aja kudu nganter sendiri sengaja request pick up karena gak tau counter sicepat disini dimana tau kurirnya aja gak dateng ke rumah main ngetik alesan seller drop sendiri mentangmentang paket gw cuma satu apa gimana,Ini gimana dah orang mau jualan aja kudu nganter sendiri sengaja request pick up karena gak tau counter disini dimana tau Kurirnya aja gak dateng ke rumah main ngetik alesan seller drop sendiri mentangmentang paket gw cuma satu apa gimana,"this is how people want to sell, i have to go, you have to request a pick up for themselves because i don't know the counter here where you know the courier is not coming to the house playing with the seller drop itself, but my package is just one what",people want sell go request pick know counter know courier coming house playing seller drop itself package one,"['people', 'want', 'sell', 'go', 'request', 'pick', 'know', 'counter', 'know', 'courier', 'coming', 'house', 'playing', 'seller', 'drop', 'itself', 'package', 'one']","['people', 'want', 'sell', 'go', 'request', 'pick', 'know', 'counter', 'know', 'courier', 'come', 'house', 'play', 'seller', 'drop', 'itself', 'package', 'one']"
277,mau tanya status paket saya  itu kok gaada pergerakan masih aja disortir di tangerang dari kemaren,Mau tanya status paket saya itu kok gaada pergerakan masih aja disortir di tangerang dari kemaren,"want to ask the status of my package, how come there is no movement still sorted in tangerang from yesterday",want ask status package come movement still sorted tangerang yesterday,"['want', 'ask', 'status', 'package', 'come', 'movement', 'still', 'sorted', 'tangerang', 'yesterday']","['want', 'ask', 'status', 'package', 'come', 'movement', 'still', 'sort', 'tangerang', 'yesterday']"
278,dulu paket ditolak cod pun barang ga dikirim kembali ke saya chat cs di wa amp email tp jawabannya bot semua amp tidak membantu tolong tindak lanjutin dong,dulu paket ditolak cod pun barang ga dikirim kembali ke saya chat cs di wa amp email tp jawabannya bot semua amp tidak membantu tolong tindak lanjutin dong,"in the past the package was rejected cod, the goods were not sent back to me cs cs at wa amp email but the answer bot all amp did not help please follow up, please follow up",past package rejected cod goods sent back cs cs wa amp email answer bot amp help please follow up please follow,"['past', 'package', 'rejected', 'cod', 'goods', 'sent', 'back', 'cs', 'cs', 'wa', 'amp', 'email', 'answer', 'bot', 'amp', 'help', 'please', 'follow', 'up', 'please', 'follow']","['past', 'package', 'reject', 'cod', 'good', 'sent', 'back', 'c', 'c', 'wa', 'amp', 'email', 'answer', 'bot', 'amp', 'help', 'please', 'follow', 'up', 'please', 'follow']"
279,gimana nih masa paket gagal dikirim karena alamat penerima tidak dapat ditemukan kan kurir bisa hubungin penerima dulu untuk tanya posisi rumah penerima dimana lagipula yang direturn gini biasanya juga ga dibalikin ke alamat penjualnya lagi solusinya gmn ya,gimana nih masa paket gagal dikirim karena alamat penerima tidak dapat ditemukan kan kurir bisa hubungin penerima dulu untuk tanya posisi rumah penerima dimana lagipula yang direturn gini biasanya juga ga dibalikin ke alamat penjualnya lagi solusinya gmn ya,"how can the package fail to be sent because the recipient's address cannot be found couriers can contact the recipient first to ask the position of the recipient's house where anyway that is retempted, usually not reversed to the seller's address, the solution is gmn",package fail sent recipients address cannot found couriers contact recipient first ask position recipients house anyway retempted usually reversed sellers address solution gmn,"['package', 'fail', 'sent', 'recipients', 'address', 'cannot', 'found', 'couriers', 'contact', 'recipient', 'first', 'ask', 'position', 'recipients', 'house', 'anyway', 'retempted', 'usually', 'reversed', 'sellers', 'address', 'solution', 'gmn']","['package', 'fail', 'sent', 'recipient', 'address', 'cannot', 'found', 'courier', 'contact', 'recipient', 'first', 'ask', 'position', 'recipient', 'house', 'anyway', 'retempted', 'usually', 'reverse', 'seller', 'address', 'solution', 'gmn']"
280,alasan gua kagak mau kalau paket kpop pake spx anteraja sama sicepat,alasan gua kagak mau kalau paket kpop pake spx sama,the reason i don't want to do if the kpop package uses the same spx,reason want kpop package uses spx,"['reason', 'want', 'kpop', 'package', 'uses', 'spx']","['reason', 'want', 'kpop', 'package', 'us', 'spx']"
